2026-08-01 00:28:33.143 | INFO     | resume_copilot.graph.nodes:router_node:154 | [router_node] Routing user message: 'Please export my resume'
2026-08-01 00:28:33.143 | INFO     | resume_copilot.graph.nodes:router_node:159 | [router_node] Keyword match: export
2026-08-01 00:28:33.144 | INFO     | resume_copilot.graph.nodes:router_node:154 | [router_node] Routing user message: '保存为 Markdown'
2026-08-01 00:28:33.145 | INFO     | resume_copilot.graph.nodes:router_node:159 | [router_node] Keyword match: export
2026-08-01 00:28:33.146 | INFO     | resume_copilot.graph.nodes:router_node:154 | [router_node] Routing user message: '重写项目经历'
2026-08-01 00:28:33.146 | INFO     | resume_copilot.graph.nodes:router_node:175 | [router_node] Keyword match: rewrite
2026-08-01 00:28:33.148 | INFO     | resume_copilot.graph.nodes:router_node:154 | [router_node] Routing user message: 'Optimize my experience section'
2026-08-01 00:28:33.148 | INFO     | resume_copilot.graph.nodes:router_node:175 | [router_node] Keyword match: rewrite
2026-08-01 00:28:33.149 | INFO     | resume_copilot.graph.nodes:router_node:154 | [router_node] Routing user message: '把这段改得更业务化'
2026-08-01 00:28:33.150 | INFO     | resume_copilot.graph.nodes:router_node:175 | [router_node] Keyword match: rewrite
2026-08-01 00:28:33.152 | INFO     | resume_copilot.graph.nodes:router_node:154 | [router_node] Routing user message: 'What is LangGraph?'
2026-08-01 00:28:33.157 | INFO     | resume_copilot.graph.nodes:router_node:192 | [router_node] LLM decision: chat
2026-08-01 00:28:33.159 | WARNING  | resume_copilot.graph.nodes:router_node:139 | [router_node] No messages in state; defaulting to chat
2026-08-01 00:28:33.161 | INFO     | resume_copilot.graph.nodes:rewriter_node:222 | [rewriter_node] Rewriting resume based on request: '加入 LangGraph 关键词'
2026-08-01 00:28:33.163 | INFO     | resume_copilot.graph.nodes:rewriter_node:251 | [rewriter_node] Rewrite complete: 45 characters
2026-08-01 00:28:33.171 | INFO     | resume_copilot.graph.nodes:exporter_node:279 | [exporter_node] Exporting resume to C:\Users\asus\AppData\Local\Temp\pytest-of-asus\pytest-8\test_exporter_node_writes_file0\resume_20260801_002833.md
2026-08-01 00:28:33.172 | INFO     | resume_copilot.graph.nodes:exporter_node:286 | [exporter_node] Export successful
2026-08-01 00:28:42.567 | INFO     | resume_copilot.analyzers.resume_analyzer:analyze:105 | Analyzing resume (11 chars) against JD (14 chars)
2026-08-01 00:28:42.567 | INFO     | resume_copilot.analyzers.resume_analyzer:analyze:125 | Analysis completed: match_score=82
2026-08-01 00:28:42.573 | INFO     | resume_copilot.analyzers.resume_analyzer:analyze:105 | Analyzing resume (11 chars) against JD (14 chars)
